timestamp,source,currency,rate_to_usd,status
2025-05-25T03:06:52.412888,openexchangerates,KZT,511.63649,success
2025-05-25T03:06:52.412888,openexchangerates,LAK,21612.453117,success
2025-05-25T03:06:52.412888,openexchangerates,LBP,89638.328105,success
2025-05-25T03:06:52.412888,openexchangerates,LKR,299.48135,success
2025-05-25T03:06:52.412888,openexchangerates,LRD,200.066985,success
2025-05-25T03:06:52.412888,openexchangerates,LSL,17.905244,success
2025-05-25T03:06:52.412888,openexchangerates,LYD,5.465386,success
2025-05-25T03:06:52.412888,openexchangerates,MAD,9.195087,success
2025-05-25T03:06:52.412888,openexchangerates,MDL,17.281698,success
2025-05-25T03:06:52.412888,openexchangerates,MGA,4473.092512,success
2025-05-25T03:06:52.412888,openexchangerates,MKD,54.132409,success
2025-05-25T03:06:52.412888,openexchangerates,MMK,2098,success
2025-05-25T03:06:52.412888,openexchangerates,MNT,3398,success
2025-05-25T03:06:52.412888,openexchangerates,MOP,8.067938,success
2025-05-25T03:06:52.412888,openexchangerates,MRU,39.782478,success
2025-05-25T03:06:52.412888,openexchangerates,MUR,45.710002,success
2025-05-25T03:06:52.412888,openexchangerates,MVR,15.46,success
2025-05-25T03:06:52.412888,openexchangerates,MWK,1734.583967,success
2025-05-25T03:06:52.412888,openexchangerates,MXN,19.2436,success
2025-05-25T03:06:52.412888,openexchangerates,MYR,4.231,success
2025-05-25T03:06:52.412888,openexchangerates,MZN,63.899993,success
2025-05-25T03:06:52.412888,openexchangerates,NAD,17.905244,success
2025-05-25T03:06:52.412888,openexchangerates,NGN,1589.8,success
2025-05-25T03:06:52.412888,openexchangerates,NIO,36.815547,success
2025-05-25T03:06:52.412888,openexchangerates,NOK,10.1063,success
2025-05-25T03:06:52.412888,openexchangerates,NPR,136.437287,success
2025-05-25T03:06:52.412888,openexchangerates,NZD,1.670565,success
2025-05-25T03:06:52.412888,openexchangerates,OMR,0.384987,success
2025-05-25T03:06:52.412888,openexchangerates,PAB,1,success
2025-05-25T03:06:52.412888,openexchangerates,PEN,3.659961,success
2025-05-25T03:06:52.412888,openexchangerates,PGK,4.101023,success
2025-05-25T03:06:52.412888,openexchangerates,PHP,55.349994,success
2025-05-25T03:06:52.412888,openexchangerates,PKR,281.947511,success
2025-05-25T03:06:52.412888,openexchangerates,PLN,3.747305,success
2025-05-25T03:06:52.412888,openexchangerates,PYG,7980.891426,success
2025-05-25T03:06:52.412888,openexchangerates,QAR,3.646003,success
2025-05-25T03:06:52.412888,openexchangerates,RON,4.4462,success
2025-05-25T03:06:52.412888,openexchangerates,RSD,103.317111,success
2025-05-25T03:06:52.412888,openexchangerates,RUB,79.475654,success
2025-05-25T03:06:52.412888,openexchangerates,RWF,1432.971811,success
2025-05-25T03:06:52.412888,openexchangerates,SAR,3.750698,success
2025-05-25T03:06:52.412888,openexchangerates,SBD,8.350767,success
2025-05-25T03:06:52.412888,openexchangerates,SCR,14.217208,success
2025-05-25T03:06:52.412888,openexchangerates,SDG,600.5,success
2025-05-25T03:06:52.412888,openexchangerates,SEK,9.5324,success
2025-05-25T03:06:52.412888,openexchangerates,SGD,1.287167,success
2025-05-25T03:06:52.412888,openexchangerates,SHP,0.738389,success
2025-05-25T03:06:52.412888,openexchangerates,SLL,20969.5,success
2025-05-25T03:06:52.412888,openexchangerates,SOS,571.672941,success
2025-05-25T03:06:52.412888,openexchangerates,SRD,36.65,success
2025-05-25T03:06:52.412888,openexchangerates,SSP,130.26,success
2025-05-25T03:06:52.412888,openexchangerates,STD,22281.8,success
2025-05-25T03:06:52.412888,openexchangerates,STN,21.594179,success
2025-05-25T03:06:52.412888,openexchangerates,SVC,8.752903,success
2025-05-25T03:06:52.412888,openexchangerates,SYP,13002,success
2025-05-25T03:06:52.412888,openexchangerates,SZL,17.900976,success
2025-05-25T03:06:52.412888,openexchangerates,THB,32.493293,success
2025-05-25T03:06:52.412888,openexchangerates,TJS,10.253534,success
2025-05-25T03:06:52.412888,openexchangerates,TMT,3.505,success
2025-05-25T03:06:52.412888,openexchangerates,TND,2.990054,success
2025-05-25T03:06:52.412888,openexchangerates,TOP,2.40776,success
2025-05-25T03:06:52.412888,openexchangerates,TRY,38.881399,success
2025-05-25T03:06:52.412888,openexchangerates,TTD,6.799963,success
2025-05-25T03:06:52.412888,openexchangerates,TWD,29.979398,success
2025-05-25T03:06:52.412888,openexchangerates,TZS,2698.390686,success
2025-05-25T03:06:52.412888,openexchangerates,UAH,41.523021,success
2025-05-25T03:06:52.412888,openexchangerates,UGX,3651.494101,success
2025-05-25T03:06:52.412888,openexchangerates,USD,1,success
2025-05-25T03:06:52.412888,openexchangerates,UYU,41.62071,success
2025-05-25T03:06:52.412888,openexchangerates,UZS,12908.850114,success
2025-05-25T03:06:52.412888,openexchangerates,VES,94.873392,success
2025-05-25T03:06:52.412888,openexchangerates,VND,25953.80398,success
2025-05-25T03:06:52.412888,openexchangerates,VUV,118.722,success
2025-05-25T03:06:52.412888,openexchangerates,WST,2.8,success
2025-05-25T03:06:52.412888,openexchangerates,XAF,576.929324,success
2025-05-25T03:06:52.412888,openexchangerates,XAG,0.02985522,success
2025-05-25T03:06:52.412888,openexchangerates,XAU,0.00029785,success
2025-05-25T03:06:52.412888,openexchangerates,XCD,2.70255,success
2025-05-25T03:06:52.412888,openexchangerates,XDR,0.722135,success
2025-05-25T03:06:52.412888,openexchangerates,XOF,576.929324,success
2025-05-25T03:06:52.412888,openexchangerates,XPD,0.00100255,success
2025-05-25T03:06:52.412888,openexchangerates,XPF,104.955022,success
2025-05-25T03:06:52.412888,openexchangerates,XPT,0.00092725,success
2025-05-25T03:06:52.412888,openexchangerates,YER,243.924948,success
2025-05-25T03:06:52.412888,openexchangerates,ZAR,17.84516,success
2025-05-25T03:06:52.412888,openexchangerates,ZMW,27.359384,success
2025-05-25T03:06:52.412888,openexchangerates,ZWL,322,success
